I,wg,r,Ytilde,P2,xi,min_gap,min_ratio,argmin_phi,first_expert_gap,first_expert_ratio,err
0.641,4.091,4.885,4.928,1.728,5.163,1.661,1.406,0.65,1.662,1.406,0.0
0.647,4.116,4.995,4.994,1.739,5.261,1.685,1.409,0.653,1.686,1.41,0.0
0.653,4.145,5.107,5.061,1.751,5.365,1.706,1.412,0.656,1.706,1.412,0.0
0.659,4.17,5.22,5.128,1.762,5.468,1.73,1.415,0.659,1.73,1.415,0.0
0.665,4.198,5.335,5.195,1.773,5.577,1.75,1.417,0.665,1.75,1.417,0.0
0.671,4.223,5.451,5.263,1.785,5.683,1.774,1.42,0.671,1.774,1.42,0.0
0.676,4.247,5.568,5.331,1.796,5.792,1.797,1.423,0.677,1.797,1.423,0.0
0.682,4.275,5.688,5.4,1.808,5.908,1.816,1.425,0.683,1.816,1.425,0.0
0.688,4.299,5.808,5.469,1.819,6.021,1.839,1.428,0.688,1.839,1.428,0.0
0.694,4.327,5.93,5.538,1.831,6.141,1.858,1.429,0.695,1.858,1.429,0.0
0.7,4.351,6.053,5.608,1.843,6.259,1.88,1.432,0.7,1.88,1.432,0.0
